date,date,open,high,close,low,volume
2015-10-26,,3614.7,3620.76,3589.26,3561.19,204248863.0
2015-10-27,,3569.45,3601.05,3592.88,3486.1,192056140.0
2015-10-28,,3575.8,3598.17,3524.92,3517.21,170977098.0
2015-10-29,,3539.98,3561.81,3533.31,3507.97,127010446.0
2015-10-30,,3530.22,3574.47,3534.08,3497.57,139141914.0
2015-11-02,,3489.23,3543.45,3475.96,3474.71,130002568.0
2015-11-03,,3484.72,3501.7,3465.49,3452.62,101401876.0
2015-11-04,,3477.16,3628.54,3628.54,3477.16,205423865.0
2015-11-05,,3630.78,3781.41,3705.97,3627.3,398046568.0
2015-11-06,,3698.34,3801.71,3793.37,3694.66,298753076.0
2015-11-09,,3796.38,3891.77,3840.35,3796.38,356804823.0
2015-11-10,,3806.67,3876.49,3833.24,3798.82,286519603.0
2015-11-11,,3828.45,3843.11,3833.65,3781.41,232234296.0
2015-11-12,,3841.74,3843.9,3795.32,3771.27,217537647.0
2015-11-13,,3756.2,3793.71,3746.24,3727.58,203489891.0
2015-11-16,,3682.74,3764.41,3764.13,3680.07,161690901.0
2015-11-17,,3790.43,3852.77,3758.39,3750.16,248533071.0
2015-11-18,,3760.46,3771.85,3715.58,3706.31,185689495.0
2015-11-19,,3725.62,3775.23,3774.97,3714.68,154631989.0
2015-11-20,,3778.88,3793.54,3774.38,3757.03,186951689.0
2015-11-23,,3774.44,3802.85,3753.33,3743.41,175626812.0
2015-11-24,,3745.76,3754.17,3753.89,3702.74,143383283.0
2015-11-25,,3747.76,3781.86,3781.61,3735.72,151944941.0
2015-11-26,,3795.25,3805.84,3759.43,3756.82,173525468.0
2015-11-27,,3739.1,3742.74,3556.99,3534.39,208939358.0
2015-11-30,,3554.89,3587.97,3566.41,3455.07,173201163.0
2015-12-01,,3562.32,3617.3,3591.7,3536.12,136536554.0
2015-12-02,,3587.76,3725.85,3721.96,3573.4,213538865.0
2015-12-03,,3709.55,3758.45,3749.3,3693.14,197762126.0
2015-12-04,,3719.73,3726.12,3677.59,3667.29,151199522.0
2015-12-07,,3681.58,3699.34,3687.61,3658.58,113883150.0
2015-12-08,,3668.84,3668.84,3623.02,3619.45,125781083.0
2015-12-09,,3613.42,3655.16,3635.94,3611.49,113325422.0
2015-12-10,,3634.37,3678.32,3623.08,3615.99,120215625.0
2015-12-11,,3605.37,3630.74,3608.06,3578.15,110322481.0
2015-12-14,,3573.88,3712.5,3711.32,3571.0,151769119.0
2015-12-15,,3707.73,3717.36,3694.39,3679.23,126481710.0
2015-12-16,,3703.95,3713.09,3685.44,3677.45,111342723.0
2015-12-17,,3712.78,3768.84,3755.89,3709.85,177924075.0
2015-12-18,,3754.96,3810.22,3767.91,3750.93,173465980.0
2015-12-21,,3762.1,3877.82,3865.97,3759.99,217435275.0
2015-12-22,,3872.1,3880.47,3876.73,3841.59,180303661.0
2015-12-23,,3877.87,3926.69,3866.38,3862.97,207017147.0
2015-12-24,,3858.14,3867.68,3829.4,3787.08,147181397.0
2015-12-25,,3832.08,3848.02,3838.2,3813.2,119624013.0
2015-12-28,,3847.53,3853.39,3727.63,3727.63,153988440.0
2015-12-29,,3723.05,3762.05,3761.87,3710.48,101885555.0
2015-12-30,,3762.91,3765.66,3765.18,3726.28,105629955.0
2015-12-31,,3760.9,3772.62,3731.0,3727.32,101873556.0
2016-01-04,,3725.86,3726.24,3470.41,3469.01,115370674.0
2016-01-05,,3382.18,3518.22,3478.78,3377.28,162116984.0
2016-01-06,,3482.41,3543.74,3539.81,3468.47,145966144.0
2016-01-07,,3481.15,3481.15,3294.38,3284.74,44102641.0
2016-01-08,,3371.87,3418.85,3361.56,3237.93,185959451.0
2016-01-11,,3303.12,3342.48,3192.45,3192.45,174638387.0
2016-01-12,,3214.82,3242.25,3215.71,3174.55,128225796.0
2016-01-13,,3240.48,3257.3,3155.88,3155.88,120666494.0
2016-01-14,,3076.64,3226.66,3221.57,3072.04,134537671.0
2016-01-15,,3200.89,3216.8,3118.73,3101.05,124601779.0
2016-01-18,,3068.23,3165.62,3130.73,3066.73,101128386.0
2016-01-19,,3132.7,3227.91,3223.12,3119.22,127653893.0
2016-01-20,,3204.22,3225.95,3174.38,3154.43,130650504.0
2016-01-21,,3136.38,3202.54,3081.35,3081.35,111189733.0
2016-01-22,,3114.9,3132.17,3113.46,3053.96,89951087.0
2016-01-25,,3129.03,3149.33,3128.89,3105.1,81540061.0
2016-01-26,,3099.6,3106.53,2940.51,2934.65,126933921.0
2016-01-27,,2953.18,2963.54,2930.35,2839.29,132229366.0
2016-01-28,,2909.33,2941.89,2853.76,2841.84,99222756.0
2016-01-29,,2855.6,2965.31,2946.09,2854.37,113304259.0
2016-02-01,,2939.04,2944.52,2901.05,2869.56,86795342.0
2016-02-02,,2901.53,2972.43,2961.33,2901.51,88601963.0
2016-02-03,,2931.29,2954.71,2948.64,2909.9,77389000.0
2016-02-04,,2960.33,2999.21,2984.76,2960.21,91779724.0
2016-02-05,,2982.06,2988.36,2963.79,2962.85,76850808.0
2016-02-15,,2888.43,2961.49,2946.71,2886.02,72919434.0
2016-02-16,,2962.19,3042.09,3037.04,2962.19,112579643.0
2016-02-17,,3034.09,3065.78,3063.32,3027.05,128291607.0
2016-02-18,,3079.53,3093.51,3053.7,3049.84,124401464.0
2016-02-19,,3047.94,3065.97,3051.58,3032.63,87338012.0
2016-02-22,,3083.93,3128.21,3118.87,3071.33,140946968.0
2016-02-23,,3117.2,3119.22,3089.36,3061.43,112567391.0
2016-02-24,,3077.61,3109.55,3109.55,3055.25,111782650.0
2016-02-25,,3104.41,3104.44,2918.75,2905.46,157829752.0
2016-02-26,,2942.1,2964.39,2948.03,2902.95,106949729.0
2016-02-29,,2939.58,2939.87,2877.47,2821.21,129341020.0
2016-03-01,,2881.34,2950.44,2930.69,2863.32,116045918.0
2016-03-02,,2933.92,3054.72,3051.33,2933.12,175972347.0
2016-03-03,,3050.39,3078.44,3058.42,3040.25,173105744.0
2016-03-04,,3047.54,3101.66,3093.89,3032.42,219172534.0
2016-03-07,,3109.0,3130.9,3104.84,3083.58,132462037.0
2016-03-08,,3100.15,3109.25,3107.67,3001.83,136235742.0
2016-03-09,,3045.92,3072.92,3071.91,3020.13,111466245.0
2016-03-10,,3056.21,3074.16,3013.15,3012.69,76072197.0
2016-03-11,,2990.21,3026.44,3018.28,2982.17,73333564.0
2016-03-14,,3039.57,3106.8,3065.69,3034.0,117108655.0
2016-03-15,,3061.34,3077.08,3074.78,3028.58,98311941.0
2016-03-16,,3068.87,3100.35,3090.03,3064.52,124736448.0
2016-03-17,,3096.81,3147.84,3124.2,3077.57,121661777.0
2016-03-18,,3136.22,3197.67,3171.96,3130.1,197302564.0
2016-03-21,,3203.29,3267.78,3249.44,3198.36,233269464.0
2016-03-22,,3231.61,3249.68,3225.79,3218.73,161020897.0
2016-03-23,,3217.73,3242.25,3236.09,3202.98,125679286.0
